0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1.5715938,-0.7073413,3.1965084,0.7334861,1.9915316,-2.3123834,-2.5147932,-0.37433553,-1.6718388,0.8538354,2.5370972,1.994389,-1.4194167,1.8225932,0.44900298,1.6044352,-0.7804017,-1.3996477,1.8337045,1.7704109,-0.28756988,0.7082362,-2.1039824,-0.7817331,-1.3198357,-2.6172433,2.1081464,1.3968134,3.274194,-0.9718394
1.4120021,-1.9850184,0.92423296,2.0971656,2.3510766,-2.0864542,-4.0660563,-0.93434215,-1.6895937,3.8001368,2.3758316,2.4704335,-1.7254803,2.6509917,2.0287275,0.7899842,-0.954584,-1.8514514,0.95006806,1.3869741,0.5189311,1.97508,-2.964895,-1.231406,2.0770004,-3.2448769,1.5812762,2.1731725,2.985214,2.6724415
1.1492867,-1.810611,0.81890196,1.8640995,2.0526693,-1.7086287,-3.4825425,-0.9630393,-1.4227574,3.254499,2.101818,2.062623,-1.5245572,2.2025113,1.8865197,0.7595192,-0.96302485,-1.696425,1.0497155,1.206411,0.6783582,1.6907121,-2.308567,-0.82641995,1.9085152,-2.8240638,1.3829618,1.9079863,2.4285016,2.5144875
-0.42915827,-0.7046587,2.2277045,1.6036017,1.2235914,-1.9389544,2.2207909,-2.5300822,-2.6990497,-0.18492016,2.886117,2.5567834,-2.968257,1.8990374,2.2100132,0.6915379,0.5385351,-0.15356608,2.0417852,3.8216505,0.4576607,1.4159628,-2.5305536,-1.9310399,0.83272403,-1.5885953,2.331679,3.4127293,2.5482502,-0.4334622
-0.30937055,-0.94421256,2.3165116,1.4006755,1.0367119,-2.2374594,2.024108,-2.8781366,-1.9187822,-1.0122604,2.6303113,2.3281868,-2.638427,1.9231632,2.3344295,0.79785794,-0.3501954,-0.42824152,2.3271875,3.397596,0.6332288,0.95800674,-2.5335407,-0.49363542,0.71802706,-1.190877,2.124234,2.5788822,1.9045169,-0.8423008
-1.4582213,-0.2875961,3.581648,2.6556673,0.34165803,-1.2643843,2.7789493,-2.3415225,-2.6832488,-0.8454933,1.046686,1.387634,-2.6771445,2.0668626,1.4496236,2.9127254,0.66159284,-1.1964694,0.8467213,3.7640433,-0.050946563,1.3378122,-3.6129346,-1.760086,1.9362767,-1.4329584,2.627702,3.7248626,1.1348063,-0.66841537
0.07007209,-0.74403137,1.5735095,1.201597,1.0545528,-2.07754,2.049159,-2.4897776,-2.5821433,-0.32641986,3.2617807,2.560309,-2.8876317,1.8407247,2.360229,0.24830647,0.36671323,0.19370124,2.3921466,3.5317457,0.62097657,1.2687,-2.2861853,-1.6008003,0.64866453,-1.3685617,2.0051258,3.1596282,2.5366268,-0.3278154
1.0570889,-1.7932919,1.1360425,1.1456982,1.6425109,-1.9845172,-0.15208583,-2.5804932,-0.6352214,-0.0054202937,1.513551,1.2382748,-1.63337,1.3690889,2.5286493,0.984634,-1.8001778,-1.472001,2.316659,0.43542987,2.0923047,0.95442206,-0.6431316,2.6852756,1.2038295,-1.1064905,-0.2932256,-0.07177656,0.68111503,1.6682918
0.880517,-1.2606328,0.3295709,0.66175133,1.3179183,-1.0777434,-0.9251927,-1.6776135,-1.2177039,0.93732774,1.0549102,1.1222259,-1.2678561,1.031581,1.8478072,0.16032894,-1.0184968,-0.8142492,1.3323052,0.23838541,0.8586755,1.2613146,-0.4553703,0.941243,0.86142075,-0.94145536,0.25292146,0.26433325,1.0002695,1.7069776
0.8563175,-1.1788114,0.03458561,0.6427765,1.1191894,-0.89285564,-1.5706201,-1.0784988,-1.6500514,2.0448737,1.0838021,1.6341797,-1.3408988,1.3716807,1.7036684,-0.3119072,-0.39946592,-0.3940363,0.82491285,0.5599609,-0.07363055,1.7788494,-1.1202282,-0.6519129,1.2755141,-1.557972,0.81465197,1.3586693,1.7429744,1.856248
1.3653698,-1.928977,0.9642545,1.7701783,2.2090724,-1.9847221,-3.798263,-0.886202,-1.6731012,3.517567,2.133026,2.4806411,-1.677501,2.5898697,2.0292583,0.5343015,-0.7782259,-1.471681,1.1165301,1.2795112,0.34438127,2.0298018,-2.5780725,-1.2676007,1.8649604,-3.1165423,1.3874124,2.2549639,3.000598,2.5676942
1.5352814,-1.9559455,0.943589,1.9959967,2.3263588,-2.0271657,-3.854631,-1.1982093,-1.8038571,3.5828972,2.5667934,2.6347022,-1.9619603,2.6467867,2.153482,0.53888226,-0.81427526,-1.6258843,0.9976448,1.4272606,0.33647782,2.075104,-2.7918625,-1.2598935,2.1850445,-3.2009947,1.5203156,2.3441567,2.9852018,2.831959
1.5041509,-2.2183604,1.1464494,2.2648811,2.488165,-2.2685485,-4.398834,-1.0368158,-1.7669358,4.045576,2.6332803,2.7201638,-1.8756691,2.8794966,2.2356162,0.8145975,-0.98624027,-1.9069195,1.1932161,1.4890723,0.59823084,2.0929508,-3.0285683,-1.3051978,2.1313872,-3.5408068,1.6232105,2.490335,3.2514057,2.8912275
