0,1,2,3,4,5,6,7,8,9
0.16998926,4.4078207,-7.151654,-5.78102,-3.5273714,4.635076,-5.653566,-5.7173886,-2.8010473,-4.207749
0.46410492,4.0989447,-6.36502,-5.2683477,-2.9184713,4.0156,-5.528132,-4.9770026,-2.067821,-3.7812433
0.5305784,4.407852,-6.982656,-5.552229,-3.3996778,4.2696576,-5.470674,-5.303353,-2.6136272,-4.086156
-5.3227906,5.0248084,-2.7143812,-3.5478392,-5.946627,1.9842665,-1.8927059,-3.6698408,4.398862,-3.6229715
-5.9368167,5.12845,-2.1795745,-3.6289272,-6.0108747,1.9773383,-2.3825135,-3.7056727,3.7521775,-3.724846
0.33134776,4.112216,-6.5797343,-5.3942347,-2.929804,4.1084547,-5.5882936,-5.1548567,-2.280694,-3.9263606
-1.3117952,2.9233892,-5.2516828,-5.2555857,-6.479596,3.5884173,-0.6807177,-2.3673446,2.175957,0.04104738
0.3446992,4.5862923,-7.2612815,-5.839218,-3.2485583,4.4942565,-6.1638436,-5.9485407,-2.6680253,-4.574226
-0.029468056,3.548851,-5.3567204,-5.4114165,-2.8827815,4.290236,-5.066563,-4.300265,-2.0530133,-2.319168
-0.79797995,3.0377243,-1.4515492,-2.0288374,-2.1873152,1.1441299,-2.7678297,-0.5313238,2.530461,-0.3310824
